term_name	actb_d1	fetalLiv	thymocytes	kcytes	HEK293T	k562	hepg2	lncap	bjFibro
histone modification	27.7948427117799	24.0439697810269	10.7687208014469	14.6346224821884	12.1325652402236	11.6931815495282	3.51095436619961	1.33468484031875	3.52292425086187
regulation of chromosome organization	12.9478472690656	5.51500777365915	5.02550038632931	9.66115666762465	10.5189945595306	13.5750915240101	4.63393880869555	3.63150730597799	1.43165711370149
chromosome segregation	8.92390368432617	7.50170991570997	6.73768720095394	9.63291880285929	14.8543723746568	17.3571966432748	4.88241686324202	NA	NA
peptidyl-lysine modification	18.9110027703372	12.8777669653249	3.55250116825741	12.3466397625486	14.2321178283811	5.64712194050404	6.43956435568372	NA	3.25636358981141
DNA replication	13.517508507631	15.0307198739132	2.16403945800104	5.97168715041033	10.5213011805643	18.0880084479293	1.92842455185687	NA	NA
positive regulation of DNA metabolic process	9.72602791203132	10.9826324439654	6.35596502775426	6.65494817161371	8.70478179915382	10.5140147835555	3.89461472108773	NA	NA
double-strand break repair	17.9783256439452	15.3598569559504	5.40679551516975	10.522271181861	8.29336816617963	15.8107987637144	3.81143509441033	NA	2.74695060494548
mitotic cell cycle phase transition	7.53444159565298	8.91695879423117	4.08922509310665	6.16366227019641	15.7165070811307	13.3239122990976	2.91884620522267	NA	2.41504962281375
regulation of cell cycle phase transition	10.4600579208302	10.6785400127951	3.8384673105389	7.13365581013407	11.6279813420514	12.2493670731852	1.50857863156233	NA	2.45849314790378
regulation of mitotic cell cycle phase transition	7.11980441630286	6.95519210115347	2.26144606082124	4.3142986662772	11.5482752296683	9.43842825988529	1.65068569482342	NA	1.78362282111012
proteasome-mediated ubiquitin-dependent protein catabolic process	15.2115248030759	6.70167502855706	4.57514046626795	12.6288301355382	6.38706821532283	8.93477013513068	NA	NA	4.70420564768749
DNA recombination	17.400420008682	10.2312456800681	6.74239534474621	4.97626785674605	4.61519544408688	14.1977365511897	3.20461961409674	NA	NA
microtubule organizing center organization	6.04230163940445	8.92897173643548	3.19086733342763	4.83045695865887	10.0324658393101	8.51644045318873	4.26404899065639	NA	NA
positive regulation of chromosome organization	4.63857262115263	2.34103788724265	2.7009101496443	5.77593212995284	6.51577993237977	9.14654119635434	4.47426556872311	2.00121067302131	NA
centrosome cycle	6.01264134625476	8.35196490639716	2.53014666419493	3.40561568666134	8.72290743557228	8.13179740296348	4.17478917617363	NA	NA
negative regulation of cell cycle process	7.77860132021098	8.08247665480766	2.66903542277783	4.29776648933311	7.31550265647426	9.82880099806118	NA	NA	NA
negative regulation of cell cycle	6.89786508942761	8.39271608960288	2.90972197339819	3.5869743829478	5.06495939041386	7.72332871135494	NA	NA	NA
