term_name	actb_d1	fetalLiv	thymocytes	kcytes	HEK293T	k562	hepg2
histone modification	20.2014667869813	21.8054757128718	6.72806540821466	10.113983245259	10.5801467524018	7.0793088991417	2.61007222920968
regulation of chromosome organization	8.7797871222226	5.34567764995237	5.10903745528883	6.27031019679214	9.74277752196849	9.90091029871802	1.6170480115111
regulation of DNA repair	5.37327530022228	6.80791711453367	4.00241576321426	4.0975405979691	3.78947778944394	5.25400344312042	NA
peptidyl-lysine modification	14.1279316206815	9.78920425476056	1.32116716426793	9.80910259096854	10.8173274808977	4.64764740617422	3.00643159011127
methylation	10.600893900765	12.5739895874772	NA	4.74999478680766	5.15855830342492	2.6391384038939	2.73670715684466
cilium organization	NA	4.21589226263139	NA	1.97206329627176	4.76407944667041	1.88111443132193	3.73480317956154
cilium assembly	NA	3.50900012344306	NA	3.33972465097713	5.58494506308177	2.35565499366808	4.61507526457435
chromosome segregation	6.78092438793872	7.91988365847762	3.82818383538482	6.38650565134821	11.9789703250245	9.4209619289481	NA
double-strand break repair	10.7512961461561	11.966765309414	4.7991462799404	8.8002289125361	8.23873359653845	8.23837443181319	NA
mitotic cell cycle phase transition	4.39401808272198	8.6192637112952	2.94564221407642	5.130739208869	6.32742998291054	6.07197066767838	2.78911682365861
positive regulation of DNA metabolic process	7.98079375424668	7.98413651152211	4.57814610374759	4.70516325964304	7.05378872842611	5.29144088619239	NA
regulation of mitotic cell cycle	5.27303152018642	8.96767909497235	2.45893362562819	4.11744479123587	7.09668625254553	6.01254054178491	2.38286634439917
regulation of cell cycle phase transition	6.87077403825491	10.6959428276395	2.49854949377784	5.55069323712408	6.30596680600803	8.71061933249422	1.90345409894217
regulation of mitotic cell cycle phase transition	4.54304519137465	7.68584977441257	1.8498838999564	3.57398091423659	5.2067921297603	4.51852776884141	2.60748729549056
macromolecule methylation	10.2767773216837	11.9016058887002	NA	4.23852631986923	6.47114780457047	2.96396789029716	3.98272051067457
proteasome-mediated ubiquitin-dependent protein catabolic process	4.65024347077981	2.43155920113806	2.84442020763379	11.2959369988406	2.66917110253417	4.90050882059114	NA
microtubule organizing center organization	4.03776177026948	7.01151436004881	2.48429319213336	NA	2.12791914543119	4.06017381078297	1.79521339962539
centrosome cycle	3.72121955231799	6.14704600579587	2.28164712502502	NA	2.1704437302502	4.06868622463716	1.64064818682708
regulation of double-strand break repair	3.18407938719692	3.82506805072964	1.95187060109423	3.22014384133338	3.4577804528467	3.33666470063329	NA
DNA recombination	11.7034893243695	9.0431066659033	4.86479235423751	4.69507025994486	3.03661937370695	9.2874548728688	NA
