term_name	actb_d1	fetalLiv	thymocytes	kcytes	HEK293T	k562	hepg2	bjFibro	lncap
histone modification	26.3696986434622	23.8064432067222	9.62704893524229	13.5002550190151	12.5879490516187	13.7722790911009	4.76488177680226	1.5565980627532	NA
regulation of chromosome organization	12.2123804632618	4.83460558517379	4.76521372046992	9.90520351021628	9.83645712226333	13.2552753356805	3.69350781467556	NA	2.67462705310362
regulation of DNA repair	7.10025849298387	11.0353263564245	4.58204521537305	5.03281361030317	4.53984718338381	8.39419823363802	1.49473073920695	2.13658155003957	NA
peptidyl-lysine modification	17.0541468213651	12.4037618231643	2.84452806564699	12.159705951394	12.8776147875844	7.49450815379201	7.69205677444341	1.93617081264476	NA
methylation	13.7801202850552	14.4292312629444	2.02147471706961	7.97217673757727	4.82674290920072	6.85779704744954	4.07387397008692	2.74389076703408	NA
cilium organization	NA	3.79935365662924	1.79146282705027	3.52947114240385	7.49347743938791	3.84428366904512	3.04442717132451	NA	NA
cilium assembly	NA	2.99144684097143	1.62930839213998	5.19966516912594	7.3579988272554	4.74866716218144	4.12563988380976	1.6697889199835	NA
chromosome segregation	8.30552707420874	7.94064677507193	5.18994703994408	9.32352568924291	12.6443863025379	11.9504054379643	4.00681479761994	NA	NA
double-strand break repair	15.8239908176891	14.354019069679	5.36061865723252	9.89891003719571	7.56335708145908	13.4181696122701	3.48815906140462	NA	NA
mitotic cell cycle phase transition	6.70531824072143	9.11268576853542	4.55809386532382	5.31673639192462	10.4412337163279	13.3331695115811	2.59511203624744	NA	NA
positive regulation of DNA metabolic process	9.5494310628311	9.75396061147393	5.42156299669757	5.42229930260807	9.34527515327059	9.61466738387314	3.26865649785749	NA	NA
regulation of mitotic cell cycle	9.96776702501526	10.2954179489558	3.39310980354448	4.29736359633448	7.66256974730501	10.0177604605923	2.14415221288616	NA	NA
regulation of cell cycle phase transition	9.50727879390433	11.3043349791034	3.76667403941768	5.46694229338842	8.15585133666465	13.1819800910645	1.9921115387261	NA	NA
regulation of mitotic cell cycle phase transition	6.9150359011038	7.11155911386551	2.72506333855015	3.24866794928755	6.92272976229876	9.44264179149878	1.84631478028082	NA	NA
macromolecule methylation	13.0549805560723	13.8270525946315	NA	6.98790194618985	5.69446381586762	7.52788739536566	5.765118355548	3.09572639245624	NA
proteasome-mediated ubiquitin-dependent protein catabolic process	10.524964006461	4.56986469084882	4.55154734167333	12.1255862908543	4.49130476563872	7.5944064721231	NA	2.7417614390086	NA
microtubule organizing center organization	5.0481244720612	10.072383116291	2.97173755755708	2.89085249210886	4.72673317887392	6.7472691244275	3.79777403641126	NA	NA
centrosome cycle	4.90939076635638	9.42405725786974	2.87110765171685	1.73582357963282	4.16131043587788	7.15505806984038	3.9618915445424	NA	NA
regulation of double-strand break repair	3.94108438807537	6.46549078949878	1.36524058700991	4.25718738765114	3.61708737024389	4.83492776442796	1.45593477054284	NA	NA
DNA recombination	15.0151444113559	9.44361123936919	5.20903216951888	5.31083204471008	3.50457748744261	12.8646945971618	3.1461270897225	NA	NA
