term_name	actb_d1	fetalLiv	thymocytes	kcytes	HEK293T	k562	hepg2	bjFibro
histone modification	25.1549354879298	24.0531946333709	9.22605421753065	12.562871720015	10.9680029321781	10.1871562657252	2.92617844776953	NA
regulation of chromosome organization	9.038051199976	4.85458104815882	4.25382889488269	9.95121029981365	8.61956777866924	11.4842171248926	3.90558069407431	NA
regulation of DNA repair	7.09787925572058	11.6232356996245	4.57821189794485	5.43082839522638	4.30492168373097	7.32760657981589	1.40326689886141	NA
peptidyl-lysine modification	16.3226515285906	12.0260919663791	3.560353891633	11.3472005916006	11.0694259178606	4.95826548603078	5.57811744633971	NA
methylation	11.4015955520007	14.5216261922156	2.19944872601444	6.84905047382193	4.93438061570601	5.80504448663618	3.85428327447302	NA
cilium organization	NA	3.4787156272997	NA	2.99549857641195	6.0545331049111	3.00425986960408	3.26109495717987	NA
cilium assembly	NA	2.60468651943367	NA	4.74138056334029	6.05625641097294	3.72790055447792	4.25474824216577	1.31761317132187
chromosome segregation	7.28844953212694	8.07213844492735	4.56849364764821	9.25501210989715	12.5653154596969	10.8032378317242	2.74659793980008	NA
double-strand break repair	12.8046936167374	15.3234519278541	4.96756969474769	9.55896166228172	8.53583954768525	11.1389192858397	2.49114609672714	NA
mitotic cell cycle phase transition	5.85610358526603	8.94724322304905	4.01753514223475	6.23234462945396	8.22493560273482	9.0798192828314	2.12370011595968	NA
positive regulation of DNA metabolic process	8.59262103248878	11.1629455391031	5.1321819610524	6.46451200345645	7.77611335610519	8.41533234067867	2.64933129732331	NA
regulation of mitotic cell cycle	7.62524819352792	9.85414036062016	3.36302706710268	4.79523824697539	7.20804094620031	7.48604978822691	1.32090081328385	NA
regulation of cell cycle phase transition	8.53673758822974	11.5612661633314	3.64411087665107	6.28585622288885	6.94183179220622	10.8186033746607	1.43820396521856	NA
regulation of mitotic cell cycle phase transition	5.59720482220775	7.44461601899996	2.41810775654861	4.258391989384	6.05907071183734	6.37010931339091	1.70382086468004	NA
macromolecule methylation	11.4631441349325	13.7376278432816	NA	5.75431723196306	5.85978230225145	6.06221717171646	5.643862332479	1.67644437668377
proteasome-mediated ubiquitin-dependent protein catabolic process	8.26184532329071	4.67563930132346	4.45485446926001	12.760298724598	4.09256413188586	5.97854658249894	NA	1.7127536120255
microtubule organizing center organization	5.30681764666283	9.71618943053075	3.44043283491419	2.3200617955928	3.88992541649148	5.53990240407675	2.32482498816793	NA
centrosome cycle	5.11951238618296	8.99648637351737	3.3184908481885	1.79663237297276	3.66859538279491	5.77387965239187	2.32572682215582	NA
regulation of double-strand break repair	4.09156475806061	7.26496459290077	1.72146071570834	4.81184119705951	3.56473476544509	4.0049350229735	1.68505453351338	NA
DNA recombination	12.8474647262616	10.3066457050224	4.89608127490464	4.82377461677681	2.96463609401465	10.3943455986503	2.32037667980144	NA
