term_name	actb_d1	fetalLiv	thymocytes	kcytes	HEK293T	k562	hepg2	lncap	bjFibro
histone modification	25.8420563374998	21.1047055661166	7.01344315542894	10.3505396359163	13.9736630949812	10.1020105764918	3.57117514897749	2.10237172395231	NA
regulation of chromosome organization	9.9132390653034	6.05736006032518	5.94363300190451	6.74563119516979	9.3195440453497	9.31275449171335	3.64498949543959	2.15135762698208	NA
chromosome segregation	7.86880968069473	9.05150425052732	4.9295834311253	6.81070389428372	12.6693598829359	10.8260332488273	3.58925038288874	NA	NA
peptidyl-lysine modification	17.0907543137172	10.1069351947914	1.79934644135101	10.3981423394047	12.1932855674419	6.93560980885001	6.54880249240112	NA	NA
DNA replication	10.4218622379738	12.6873599328495	1.71976232120163	4.75836091463056	9.52776255984431	16.4063413288691	1.40516217294795	NA	NA
positive regulation of DNA metabolic process	9.79945726152326	9.43121658556526	3.42398042457137	5.22814373421538	8.73292282120919	6.37955311464751	1.85938115495272	NA	NA
double-strand break repair	14.8592785311193	14.964661840867	3.91322344247233	8.53025340276588	8.13857264785189	9.90855543873283	1.36797853200088	NA	NA
mitotic cell cycle phase transition	4.88077998995938	10.5537842763968	3.01291810804553	4.70953490825509	7.97807880977119	8.00877160154063	2.35755937750328	NA	NA
regulation of cell cycle phase transition	8.26069693175926	12.8189305846191	3.98535468734656	5.86547767564867	7.29231509498056	10.0352824213929	2.4825662293681	NA	NA
regulation of mitotic cell cycle phase transition	5.8032952307913	9.10053560197784	2.17503014431058	2.93896687473398	6.22266791834283	5.8366200974195	1.35145298884623	NA	NA
proteasome-mediated ubiquitin-dependent protein catabolic process	9.71444999425898	2.96812553427049	1.80923741071973	10.1086537057805	4.70893999231426	3.34539576905847	NA	NA	3.24116506926857
DNA recombination	15.3693298723353	9.53693224673998	4.26271024388635	4.03159604231841	3.99989473363671	9.36544256656205	1.94122179647539	NA	NA
microtubule organizing center organization	2.52247143160769	9.59044429464817	2.15525761894484	3.57408303279913	3.66904765987767	5.19738077605525	4.5577122839326	NA	NA
positive regulation of chromosome organization	4.42171320382057	3.6736065776642	2.87866989667849	3.61722146387797	3.64802868152417	5.59661253039133	2.3882405264898	NA	NA
centrosome cycle	2.29291781846356	8.77538202952116	1.82494532925322	2.23702831857056	2.85724318618612	5.32379133913194	4.58705691423399	NA	NA
negative regulation of cell cycle process	6.03877589749154	8.41018663670563	2.5625978119216	2.62074116014537	2.85355674703876	7.39522342098354	1.61151424426901	NA	NA
negative regulation of cell cycle	5.10254186619442	8.23912176214845	1.95230539543955	2.86390601298972	1.77273292823674	5.97089250223227	2.1302775593208	NA	NA
