query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	nLog10
query_1	TRUE	1.43861194669434e-26	493	2287	125	0.0546567555749891	0.253549695740365	GO:0016570	GO:BP	histone modification	27205	25.8420563374998
query_1	TRUE	1.93607914846816e-18	477	2287	108	0.0472234368167906	0.226415094339623	GO:0006914	GO:BP	autophagy	27205	17.713076892358
query_1	TRUE	1.93607914846816e-18	477	2287	108	0.0472234368167906	0.226415094339623	GO:0061919	GO:BP	process utilizing autophagic mechanism	27205	17.713076892358
query_1	TRUE	8.11419959322038e-18	376	2287	92	0.040227372103192	0.24468085106383	GO:0018205	GO:BP	peptidyl-lysine modification	27205	17.0907543137172
query_1	TRUE	4.27238250166952e-16	317	2287	80	0.034980323567993	0.252365930599369	GO:0006310	GO:BP	DNA recombination	27205	15.3693298723353
query_1	TRUE	1.38267932477476e-15	284	2287	74	0.0323567993003935	0.26056338028169	GO:0006302	GO:BP	double-strand break repair	27205	14.8592785311193
query_1	TRUE	1.13325356500231e-14	459	2287	98	0.0428508963707914	0.213507625272331	GO:0034248	GO:BP	regulation of amide metabolic process	27205	13.9456729060585
query_1	TRUE	1.60899354211555e-13	397	2287	87	0.0380411018801924	0.219143576826196	GO:0006417	GO:BP	regulation of translation	27205	12.7934456989894
query_1	TRUE	1.89666781953615e-13	165	2287	51	0.0222999562745955	0.309090909090909	GO:0016482	GO:BP	cytosolic transport	27205	12.7220087243432
query_1	TRUE	2.28366181396593e-13	357	2287	81	0.0354175776125929	0.226890756302521	GO:0032259	GO:BP	methylation	27205	12.6413682100597
query_1	TRUE	4.98781027374227e-13	254	2287	65	0.0284215128989943	0.255905511811024	GO:0016236	GO:BP	macroautophagy	27205	12.3020900745668
query_1	TRUE	5.56299784207793e-13	314	2287	74	0.0323567993003935	0.235668789808917	GO:0043414	GO:BP	macromolecule methylation	27205	12.2546911085247
query_1	TRUE	2.87584435289625e-12	256	2287	64	0.0279842588543944	0.25	GO:0043543	GO:BP	protein acylation	27205	11.5412346226381
query_1	TRUE	3.48501627297139e-11	381	2287	80	0.034980323567993	0.20997375328084	GO:0140694	GO:BP	non-membrane-bounded organelle assembly	27205	10.457795189662
query_1	TRUE	3.78562649072447e-11	276	2287	65	0.0284215128989943	0.235507246376812	GO:0006260	GO:BP	DNA replication	27205	10.4218622379738
